position,column,inferred_type,non_missing_count,missing_count,missing_pct,unique_count,unique_pct_non_missing,is_all_missing,is_constant_non_missing,is_unique_non_missing,min,max,mean,top_values
58,fin14d,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.496855345911949685534591195,"[{""value"": ""1"", ""count"": 170}, {""value"": ""2"", ""count"": 140}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 2}]"
59,fin14e,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.798742138364779874213836478,"[{""value"": ""2"", ""count"": 215}, {""value"": ""1"", ""count"": 84}, {""value"": ""3"", ""count"": 18}, {""value"": ""4"", ""count"": 1}]"
60,fin15,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.827044025157232704402515723,"[{""value"": ""2"", ""count"": 248}, {""value"": ""1"", ""count"": 63}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 1}]"
61,fin16,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.773584905660377358490566038,"[{""value"": ""2"", ""count"": 235}, {""value"": ""1"", ""count"": 78}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 1}]"
62,fin17a,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.807802093244529019980970504,"[{""value"": ""2"", ""count"": 830}, {""value"": ""1"", ""count"": 212}, {""value"": ""3"", ""count"": 8}, {""value"": ""4"", ""count"": 1}]"
63,fin17b,integer,677,374,35.5852,3,0.4431,False,False,False,1,3,1.568685376661742983751846381,"[{""value"": ""2"", ""count"": 379}, {""value"": ""1"", ""count"": 295}, {""value"": ""3"", ""count"": 3}]"
64,fin17c,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.751665080875356803044719315,"[{""value"": ""2"", ""count"": 772}, {""value"": ""1"", ""count"": 271}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 2}]"
65,fin17d,integer,406,645,61.3701,5,1.2315,False,False,False,1,5,2.273399014778325123152709360,"[{""value"": ""2"", ""count"": 201}, {""value"": ""3"", ""count"": 103}, {""value"": ""1"", ""count"": 66}, {""value"": ""4"", ""count"": 34}, {""value"": ""5"", ""count"": 2}]"
66,fin17e,integer,406,645,61.3701,4,0.9852,False,False,False,1,4,1.753694581280788177339901478,"[{""value"": ""2"", ""count"": 283}, {""value"": ""1"", ""count"": 112}, {""value"": ""3"", ""count"": 10}, {""value"": ""4"", ""count"": 1}]"
67,fin17f,integer,406,645,61.3701,3,0.7389,False,False,False,1,3,1.758620689655172413793103448,"[{""value"": ""2"", ""count"": 304}, {""value"": ""1"", ""count"": 100}, {""value"": ""3"", ""count"": 2}]"
68,fin18,integer,512,539,51.2845,3,0.5859,False,False,False,1,3,1.73046875,"[{""value"": ""2"", ""count"": 368}, {""value"": ""1"", ""count"": 141}, {""value"": ""3"", ""count"": 3}]"
69,fin19,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.794481446241674595623215985,"[{""value"": ""2"", ""count"": 804}, {""value"": ""1"", ""count"": 233}, {""value"": ""3"", ""count"": 11}, {""value"": ""4"", ""count"": 3}]"
70,fin20,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.664129400570884871550903901,"[{""value"": ""2"", ""count"": 689}, {""value"": ""1"", ""count"": 358}, {""value"": ""3"", ""count"": 3}, {""value"": ""4"", ""count"": 1}]"
71,fin21,integer,358,693,65.9372,2,0.5587,False,False,False,1,2,1.220670391061452513966480447,"[{""value"": ""1"", ""count"": 279}, {""value"": ""2"", ""count"": 79}]"
72,fin22a,integer,1051,0,0.0,3,0.2854,False,False,False,1,3,1.901998097050428163653663178,"[{""value"": ""2"", ""count"": 938}, {""value"": ""1"", ""count"": 108}, {""value"": ""3"", ""count"": 5}]"
73,fin22a_1,integer,677,374,35.5852,3,0.4431,False,False,False,1,3,1.679468242245199409158050222,"[{""value"": ""2"", ""count"": 438}, {""value"": ""1"", ""count"": 228}, {""value"": ""3"", ""count"": 11}]"
74,fin22b,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.530922930542340627973358706,"[{""value"": ""2"", ""count"": 547}, {""value"": ""1"", ""count"": 499}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 1}]"
75,fin22c,integer,271,780,74.215,3,1.107,False,False,False,1,4,1.435424354243542435424354244,"[{""value"": ""1"", ""count"": 155}, {""value"": ""2"", ""count"": 115}, {""value"": ""4"", ""count"": 1}]"
76,fin22d,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.736441484300666032350142721,"[{""value"": ""2"", ""count"": 763}, {""value"": ""1"", ""count"": 283}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 1}]"
77,fin22e,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.803996194100856327307326356,"[{""value"": ""2"", ""count"": 838}, {""value"": ""1"", ""count"": 210}, {""value"": ""3"", ""count"": 2}, {""value"": ""4"", ""count"": 1}]"
78,fin22f,integer,1051,0,0.0,3,0.2854,False,False,False,1,3,1.811607992388201712654614653,"[{""value"": ""2"", ""count"": 843}, {""value"": ""1"", ""count"": 203}, {""value"": ""3"", ""count"": 5}]"
79,fin22g,integer,68,983,93.53,3,4.4118,False,False,False,1,3,1.455882352941176470588235294,"[{""value"": ""1"", ""count"": 38}, {""value"": ""2"", ""count"": 29}, {""value"": ""3"", ""count"": 1}]"
80,fin22h,integer,38,1013,96.3844,4,10.5263,False,False,False,1,4,1.421052631578947368421052632,"[{""value"": ""1"", ""count"": 25}, {""value"": ""2"", ""count"": 11}, {""value"": ""3"", ""count"": 1}, {""value"": ""4"", ""count"": 1}]"
81,fin23,integer,404,647,61.5604,3,0.7426,False,False,False,1,3,1.863861386138613861386138614,"[{""value"": ""2"", ""count"": 345}, {""value"": ""1"", ""count"": 57}, {""value"": ""3"", ""count"": 2}]"
82,fin24,integer,1051,0,0.0,9,0.8563,False,False,False,1,9,4.071360608943862987630827783,"[{""value"": ""2"", ""count"": 303}, {""value"": ""7"", ""count"": 136}, {""value"": ""4"", ""count"": 130}, {""value"": ""8"", ""count"": 128}, {""value"": ""1"", ""count"": 122}, {""value"": ""5"", ""count"": 118}, {""value"": ""3"", ""count"": 80}, {""value"": ""6"", ""count"": 27}]"
83,fin24a,integer,780,271,25.785,4,0.5128,False,False,False,1,4,1.573076923076923076923076923,"[{""value"": ""1"", ""count"": 452}, {""value"": ""2"", ""count"": 224}, {""value"": ""3"", ""count"": 89}, {""value"": ""4"", ""count"": 15}]"
84,fin24b,integer,1051,0,0.0,6,0.5709,False,False,False,1,6,3.321598477640342530922930542,"[{""value"": ""4"", ""count"": 394}, {""value"": ""5"", ""count"": 190}, {""value"": ""2"", ""count"": 169}, {""value"": ""3"", ""count"": 147}, {""value"": ""1"", ""count"": 144}, {""value"": ""6"", ""count"": 7}]"
85,fin24c,integer,1051,0,0.0,3,0.2854,False,False,False,1,3,1.569933396764985727878211227,"[{""value"": ""2"", ""count"": 567}, {""value"": ""1"", ""count"": 468}, {""value"": ""3"", ""count"": 16}]"
86,fin24d1,integer,468,583,55.471,3,0.641,False,False,False,1,3,1.692307692307692307692307692,"[{""value"": ""2"", ""count"": 302}, {""value"": ""1"", ""count"": 155}, {""value"": ""3"", ""count"": 11}]"
87,fin24d2,integer,468,583,55.471,4,0.8547,False,False,False,1,4,1.391025641025641025641025641,"[{""value"": ""1"", ""count"": 291}, {""value"": ""2"", ""count"": 172}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 1}]"
88,fin24d3,integer,355,696,66.2226,4,1.1268,False,False,False,1,4,1.816901408450704225352112676,"[{""value"": ""2"", ""count"": 272}, {""value"": ""1"", ""count"": 75}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 2}]"
89,fin25e1,integer,793,258,24.548,3,0.3783,False,False,False,1,3,1.698612862547288776796973518,"[{""value"": ""2"", ""count"": 540}, {""value"": ""1"", ""count"": 246}, {""value"": ""3"", ""count"": 7}]"
90,fin25e2,integer,793,258,24.548,4,0.5044,False,False,False,1,4,1.732660781841109709962168979,"[{""value"": ""2"", ""count"": 572}, {""value"": ""1"", ""count"": 217}, {""value"": ""3"", ""count"": 3}, {""value"": ""4"", ""count"": 1}]"
91,fin25e3,integer,217,834,79.353,4,1.8433,False,False,False,1,4,2.009216589861751152073732719,"[{""value"": ""2"", ""count"": 116}, {""value"": ""1"", ""count"": 52}, {""value"": ""3"", ""count"": 44}, {""value"": ""4"", ""count"": 5}]"
92,fin25e4,integer,576,475,45.1951,7,1.2153,False,False,False,1,7,3.659722222222222222222222222,"[{""value"": ""4"", ""count"": 405}, {""value"": ""2"", ""count"": 47}, {""value"": ""1"", ""count"": 44}, {""value"": ""3"", ""count"": 36}, {""value"": ""5"", ""count"": 24}, {""value"": ""6"", ""count"": 18}, {""value"": ""7"", ""count"": 2}]"
93,fin26a,integer,793,258,24.548,3,0.3783,False,False,False,1,3,1.442622950819672131147540984,"[{""value"": ""1"", ""count"": 449}, {""value"": ""2"", ""count"": 337}, {""value"": ""3"", ""count"": 7}]"
94,fin26b,integer,793,258,24.548,4,0.5044,False,False,False,1,4,1.870113493064312736443883985,"[{""value"": ""2"", ""count"": 673}, {""value"": ""1"", ""count"": 112}, {""value"": ""3"", ""count"": 7}, {""value"": ""4"", ""count"": 1}]"
95,fin27,integer,112,939,89.3435,5,4.4643,False,False,False,1,5,1.919642857142857142857142857,"[{""value"": ""2"", ""count"": 46}, {""value"": ""1"", ""count"": 41}, {""value"": ""3"", ""count"": 20}, {""value"": ""4"", ""count"": 3}, {""value"": ""5"", ""count"": 2}]"
96,fh1,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.546146527117031398667935300,"[{""value"": ""2"", ""count"": 555}, {""value"": ""1"", ""count"": 487}, {""value"": ""3"", ""count"": 8}, {""value"": ""4"", ""count"": 1}]"
97,fin28,integer,487,564,53.6632,2,0.4107,False,False,False,1,2,1.236139630390143737166324435,"[{""value"": ""1"", ""count"": 372}, {""value"": ""2"", ""count"": 115}]"
98,fh2,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.482397716460513796384395814,"[{""value"": ""1"", ""count"": 554}, {""value"": ""2"", ""count"": 488}, {""value"": ""3"", ""count"": 8}, {""value"": ""4"", ""count"": 1}]"
99,fin29,integer,554,497,47.2883,2,0.361,False,False,False,1,2,1.263537906137184115523465704,"[{""value"": ""1"", ""count"": 408}, {""value"": ""2"", ""count"": 146}]"
100,fh2a,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.810656517602283539486203616,"[{""value"": ""2"", ""count"": 838}, {""value"": ""1"", ""count"": 207}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 2}]"
101,fin30,integer,1051,0,0.0,3,0.2854,False,False,False,1,3,1.502378686964795432921027593,"[{""value"": ""1"", ""count"": 527}, {""value"": ""2"", ""count"": 520}, {""value"": ""3"", ""count"": 4}]"
102,fin31a,integer,527,524,49.8573,4,0.759,False,False,False,1,4,1.734345351043643263757115750,"[{""value"": ""2"", ""count"": 378}, {""value"": ""1"", ""count"": 145}, {""value"": ""3"", ""count"": 3}, {""value"": ""4"", ""count"": 1}]"
103,fin31b,integer,527,524,49.8573,4,0.759,False,False,False,1,4,1.206831119544592030360531309,"[{""value"": ""1"", ""count"": 421}, {""value"": ""2"", ""count"": 104}, {""value"": ""3"", ""count"": 1}, {""value"": ""4"", ""count"": 1}]"
104,fin31c,integer,51,1000,95.1475,2,3.9216,False,False,False,1,2,1.450980392156862745098039216,"[{""value"": ""1"", ""count"": 28}, {""value"": ""2"", ""count"": 23}]"
105,fin31d,integer,88,963,91.627,3,3.4091,False,False,False,1,3,1.227272727272727272727272727,"[{""value"": ""1"", ""count"": 70}, {""value"": ""2"", ""count"": 16}, {""value"": ""3"", ""count"": 2}]"
106,fin32,integer,1051,0,0.0,3,0.2854,False,False,False,1,3,1.649857278782112274024738344,"[{""value"": ""2"", ""count"": 675}, {""value"": ""1"", ""count"": 372}, {""value"": ""3"", ""count"": 4}]"
